,visibility,reward,RT_avg,FP1,FP
0,True,False,0.31718638726735,0.3,0.3
1,True,False,0.3011339101962841,0.3,0.6
2,True,False,0.29665894937667425,0.3,0.9
3,True,False,0.32684727809558467,0.6,0.3
4,True,False,0.31025047383237436,0.6,0.6
5,True,False,0.2956185906614727,0.6,0.9
6,True,False,0.3270101944138892,0.9,0.3
7,True,False,0.3248158203719737,0.9,0.6
8,True,False,0.3065070278366497,0.9,0.9
9,True,True,0.3058599529343897,0.3,0.3
10,True,True,0.28538323191066733,0.3,0.6
11,True,True,0.2810843279013569,0.3,0.9
12,True,True,0.3184874890618655,0.6,0.3
13,True,True,0.29692870598606785,0.6,0.6
14,True,True,0.278623302497813,0.6,0.9
15,True,True,0.3187543330956524,0.9,0.3
16,True,True,0.3153729108183084,0.9,0.6
17,True,True,0.29224744767048433,0.9,0.9
18,False,False,0.3361762665438784,0.3,0.3
19,False,False,0.3195608137912528,0.3,0.6
20,False,False,0.31641352035841175,0.3,0.9
21,False,False,0.34676830831692207,0.6,0.3
22,False,False,0.3305007649344418,0.6,0.6
23,False,False,0.3160805810450727,0.6,0.9
24,False,False,0.34666357887142085,0.9,0.3
25,False,False,0.3439114421419772,0.9,0.6
26,False,False,0.3269470089231827,0.9,0.9
27,False,True,0.3263786159273667,0.3,0.3
28,False,True,0.3053320954247266,0.3,0.6
29,False,True,0.29957020218676267,0.3,0.9
30,False,True,0.3383092527548868,0.6,0.3
31,False,True,0.3170113233688719,0.6,0.6
32,False,True,0.29975817728994525,0.6,0.9
33,False,True,0.33835890373213295,0.9,0.3
34,False,True,0.3350203555522993,0.9,0.6
35,False,True,0.31325665807693154,0.9,0.9
